,url_host,title,description,text
16,http://ssp.bidvol.com,,,
17,http://l.instagram.com,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
18,http://online.vtb.ru,,,
19,http://img.samsungapps.com,,,"403 Forbidden Forbidden You don't have permission to access /
on this server."
20,http://login.mts.ru,,,
21,http://syndication.realsrv.com,,,
22,http://twitter.com,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
23,http://t.co,,,
24,http://m.zen.yandex.ru,,,
25,http://google.ru,,,
26,http://code.directadvert.ru,,,403 Forbidden 403 Forbidden nginx
27,http://cdn.appnext.com,,,
28,http://gosuslugi.ru,,,
29,http://cdn.adhigh.net,,,
30,http://rb.infox.sg,,,403 Forbidden 403 Forbidden nginx/1.10.0 (Ubuntu)
31,http://lenta.com,,,
32,http://s.viiadr.com,,,
33,http://skwstat.ru,,,403 Forbidden 403 Forbidden nginx/1.17.5
34,http://baza.drom.ru,,,
35,http://lentaru.media.eagleplatform.com,,,
36,http://razdvabm.com,,,
37,http://static.wi-fi.ru,,,403 Forbidden 403 Forbidden nginx
38,http://news.yandex.ru,,,
39,http://facebook.com,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
40,http://acs1.sbrf.ru,,,
41,http://4251.tech,,,
42,http://pbs.alfasense.com,,,
43,http://acs3.sbrf.ru,,,
44,http://acs2.sbrf.ru,,,
45,http://acs4.sbrf.ru,,,
46,http://static.kost.tv,,,403 Forbidden 403 Forbidden nginx
47,http://securepayments.sberbank.ru,,,
48,http://utarget.ru,,,
49,http://ria-ru.turbopages.org,,,
50,http://dsp.rtb.mts.ru,,,
51,http://faq.whatsapp.com,,,
52,http://ru.wargaming.net,Перенос аккаунта Wargaming,"Всем игрокам необходимо выбрать регион для игры — EU или RU. Здесь вся информация, ответы на вопросы и полезные ссылки — переходи и принимай взвешенное решение.",
53,http://share.pluso.ru,,,
54,http://private.auth.alfabank.ru,,,
55,http://servers1.adriver.ru,,,403 Forbidden 403 Forbidden nginx
56,http://gazeta.media.eagleplatform.com,,,
57,http://turbopages.org,,,
58,http://masterh7.adriver.ru,,,
59,http://lenta-ru.turbopages.org,,,
60,http://servers3.adriver.ru,,,403 Forbidden 403 Forbidden nginx
61,http://masterh5.adriver.ru,,,403 Forbidden 403 Forbidden nginx
62,http://servers2.adriver.ru,,,403 Forbidden 403 Forbidden nginx
63,http://mh8.adriver.ru,,,403 Forbidden 403 Forbidden nginx
64,http://servers7.adriver.ru,,,403 Forbidden 403 Forbidden nginx
65,http://servers6.adriver.ru,,,403 Forbidden 403 Forbidden nginx
66,http://servers4.adriver.ru,,,403 Forbidden 403 Forbidden nginx
67,http://mh6.adriver.ru,,,403 Forbidden 403 Forbidden nginx
68,http://edp2.adriver.ru,,,
69,http://media.discordapp.net,,,
70,http://scripts.advmusic.com,,,403 Forbidden 403 Forbidden nginx/1.14.0 (Ubuntu)
71,http://gismeteo.ru,,,
72,http://iz.ru,,,
73,http://player.mediavitrina.ru,,,403 Forbidden 403 Forbidden nginx
74,http://web.whatsapp.com,,,
75,http://farpost.ru,,,
76,http://meduza.io,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
77,http://m.sport-express.ru,,,
78,http://2gis.ru,,,403 Forbidden 403 Forbidden openresty
79,http://s1.stc.all.kpcdn.net,,,403 Forbidden Request forbidden by administrative rules.
80,http://infox.sg,,,
81,http://pikabu.ru,,,
82,http://tass-ru.turbopages.org,,,
83,http://leroymerlin.ru,,,
84,http://sbi.sberbank.ru,,,
85,http://cdn.iz.ru,,,403 Forbidden 403 Forbidden nginx
86,http://dns-shop.ru,,,
87,http://drive2-ru.turbopages.org,,,
88,http://online.rshb.ru,,,
89,http://rt.bongacams21.com,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
90,http://mraid.bigo.sg,,,
91,http://drom.ru,,,
92,http://d.pikabu.ru,,,
93,http://dsa-eu.hybrid.ai,,,
94,http://rt.bongacams14.com,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
95,http://rbc-ru.turbopages.org,,,
96,http://iz-ru.turbopages.org,,,
97,http://safebrowsdv.com,,,
98,http://newssearch.yandex.ru,,,
99,http://rg-ru.turbopages.org,,,
100,http://russian-rt-com.turbopages.org,,,
101,http://pozdravok.ru,,,
102,http://cpg.money.mail.ru,,,
103,http://7days.ru,,,
104,http://gazeta-ru.turbopages.org,,,
105,http://s3.stc.all.kpcdn.net,,,403 Forbidden Request forbidden by administrative rules.
106,http://s14.stc.all.kpcdn.net,,,403 Forbidden Request forbidden by administrative rules.
107,http://novayagazeta.ru,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
108,http://s11.stc.all.kpcdn.net,,,403 Forbidden Request forbidden by administrative rules.
109,http://s13.stc.all.kpcdn.net,,,403 Forbidden Request forbidden by administrative rules.
110,http://s12.stc.all.kpcdn.net,,,403 Forbidden Request forbidden by administrative rules.
111,http://kommersant-ru.turbopages.org,,,
112,http://-1,,,
113,http://mk-ru.turbopages.org,,,
114,http://kp-ru.turbopages.org,,,
115,http://fssp.gov.ru,,,
116,http://championat-com.turbopages.org,,,
117,http://pay-fb.igg.com,,,
118,http://tilda.ws,,,403 Forbidden 403 Forbidden nginx
119,http://forum.ixbt.com,,,
120,http://ramblernews.media.eagleplatform.com,,,
121,http://m.7days.ru,,,
122,http://music4you.cc,,,
123,http://ooo.fm,,,
124,http://my.mosenergosbyt.ru,,,
125,http://uslugi.mosreg.ru,,,
126,http://news.google.com,,,
127,http://amp.championat.com,,,403 Forbidden 403 Forbidden nginx/1.21.3
128,http://api.venyoo.ru,,,
129,http://echo.msk.ru,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
130,http://s.optnx.com,,,
131,http://povar-ru.turbopages.org,,,
132,http://fe2.update.microsoft.com,,,
133,http://yandex.ua,,,
134,http://flipboard.com,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
135,http://s16.stc.all.kpcdn.net,,,403 Forbidden Request forbidden by administrative rules.
136,http://journal.tinkoff.ru,Тинькофф Журнал: журнал про ваши деньги,"Статьи об управлении деньгами. Как экономить, вкладывать, защищать свои права и общаться с банками",
137,http://ipleer.com,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
138,http://konkurent.ru,KONKURENT.RU - Новости Приморья и Владивостока,Электронная версия делового еженедельника KONKURENT.RU. Важные новости и статьи о жизни Приморского края и Владивостока,
139,http://sport--express-ru.turbopages.org,,,
140,http://world-weather.ru,,,"403 Forbidden Forbidden You don't have permission to access /
on this server."
141,http://zyf03k.xyz,,,
142,http://aif.ru,,,
143,http://googlesyndication.com,,,
144,http://spac1.net,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
145,http://paymentnew.ok.ru,,,
146,http://lifehacker-ru.turbopages.org,,,
147,http://4pda.to,,,
148,http://1plus1tv.ru,,,
149,http://gogov.ru,,,
150,http://regnum-ru.turbopages.org,,,
151,http://ren-tv.turbopages.org,,,
152,http://s.4pda.to,,,
153,http://clck.lentainform.com,,,
154,http://spaces.im,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
155,http://riafan-ru.turbopages.org,,,
156,http://tsargrad-tv.turbopages.org,,,
157,http://sovcombank.ru,,,
158,http://sportrecs.com,,,403 Forbidden 403 Forbidden nginx
159,http://cis.infox.sg,,,
160,http://ru.sefon.pro,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
161,http://life-ru.turbopages.org,,,
162,http://vz-ru.turbopages.org,,,
163,http://pkk.rosreestr.ru,,,
164,http://aif-ru.turbopages.org,,,
165,http://fb-ru.turbopages.org,,,
166,http://infotime.co,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
167,http://9111-ru.turbopages.org,,,
168,http://smi.expert,,,
169,http://interfax-ru.turbopages.org,,,
170,http://m.iamcook.ru,,,
171,http://mp3.fish,,,
172,http://mrqz.me,,,
173,http://m.fotostrana.ru,,,
174,http://tjournal.ru,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
175,http://studiohd.org,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
176,http://android.fotostrana.ru,,,
177,http://mignews.com,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
178,http://interfax.ru,,,
179,http://loveplanet.ru,"Знакомства LovePlanet – знакомства без регистрации бесплатно, бесплатный сайт знакомств.",,
180,http://ctc.ru,,,
181,http://dic.academic.ru,Словари и энциклопедии на Академике,Словари и энциклопедии на Академике,
182,http://acs5.sbrf.ru,,,
183,http://l.facebook.com,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
184,http://football.kulichki.net,,,
185,http://pikabu-ru.turbopages.org,,,
186,http://fotostrana.ru,,,
187,http://ru.drivemusic.me,,,403 Forbidden 403 Forbidden nginx
188,http://ura-news.turbopages.org,,,
189,http://cdek.ru,,,
190,http://vip.zagonka.net,,,
191,http://test3.ok.ru,,,
192,http://rzd.ru,,,
193,http://news-rambler-ru.turbopages.org,,,
194,http://m.zhongddi.com,,,
195,http://text-pesni.com,,,
196,http://360tv-ru.turbopages.org,,,
197,http://car.ru,,,"403 Forbidden Forbidden You don't have permission to access /
on this server. Apache/2.4.18 (Ubuntu) Server at car.ru Port 80"
198,http://s7.stc.all.kpcdn.net,,,403 Forbidden Request forbidden by administrative rules.
199,http://academic.ru,Словари и энциклопедии на Академике,Словари и энциклопедии на Академике,
200,http://linkedin.com,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
201,http://sport24-ru.turbopages.org,,,
202,http://doubleclick.net,,,
203,http://osnmedia-ru.turbopages.org,,,
204,http://vtb.ru,,,
205,http://mir-knig.com,,,
206,http://s5.stc.all.kpcdn.net,,,403 Forbidden Request forbidden by administrative rules.
207,http://amp.eda.ru,"«Еда» – рецепты, видеоуроки и кулинарные блоги","«Еда» – рецепты, видеоуроки и кулинарные блоги",
208,http://ferra.media.eagleplatform.com,,,
209,http://baidu.com,,,
210,http://zvonili.com,,,403 Forbidden 403 Forbidden nginx/1.18.0 (Ubuntu)
211,http://overclockers.ru,,,
212,http://hovels.info,,,403 Forbidden 403 Forbidden openresty
213,http://m.beboo.ru,,,
214,http://m.anwap.pub,,,
215,http://24smi-org.turbopages.org,,,
216,http://news-ru.turbopages.org,,,
217,http://rsport-ria-ru.turbopages.org,,,
218,http://tevas.mobi,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
219,http://drive2-com.turbopages.org,,,
220,http://5--tv-ru.turbopages.org,,,
221,http://goroda.bluesystem.me,,,
222,http://starhit-ru.turbopages.org,,,
223,http://zetserial.online,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
224,http://login.mediafort.ru,,,
225,http://vedomosti-ru.turbopages.org,,,
226,http://m24.ru,,,
227,http://iframe.admediator.ru,,,
228,http://stvkr.com,,,
229,http://eldorado.ru,,,
230,http://megogo.net,,,
231,http://sudact.ru,,,
232,http://m.mp3xa.fm,,,403 Forbidden 403 Forbidden nginx/1.20.1
233,http://defileb.com,,,403 Forbidden 403 Forbidden openresty
234,http://kdl.ru,,,
235,http://roles.gosuslugi.ru,,,
236,http://sportmaster.ru,,,
237,http://qq.com,,,
238,http://google.com.br,,,
239,http://medaboutme-ru.turbopages.org,,,
240,http://1001goroskop.ru,,,
241,http://travelask.ru,"TravelAsk - всё о туризме: путеводитель, отзывы об отдыхе, онлайн сервисы, сообщество и блоги путешественников.","Крупнейший портал путешествий, туризма и активного отдыха для самостоятельных туристов и не только: онлайн путешествие по странам и городам мира в путеводителе по отдыху, блоги о путешествиях с отзывами туристов, бесплатные сервисы и всё о путешествиях в энциклопедии туризма на TravelAsk.ru!",
242,http://stihi.ru,,,
