,cpe_manufacturer_name,cpe_model_name,price
128,Alcatel,3x,1990
129,Xiaomi,Redmi Note 9T 5G,15000
130,Doogee,S68Pro,14890
131,Samsung,Galaxy A5 LTE Dual,4690
132,Xiaomi,Redmi 3,10990
133,Sony Mobile Communications Inc.,Xperia 10 Plus,25090
134,Huawei,P20 Pro,11090
135,Sony Mobile Communications Inc.,Xperia 10,25000
136,Xiaomi,Mi 10 Pro 5G,45990
137,Doogee,S60,26990
138,Oppo,Reno2 Z,23670
139,Samsung,Galaxy S21+,81000
140,Meizu,15 Lite,10990
141,Samsung,Galaxy S21,79999
142,Huawei,MediaPad T5,9995
143,"Motorola Mobility LLC, a Lenovo Company",Moto G8 Plus,14790
144,Xiaomi,Redmi Note 5,6600
145,Samsung,Galaxy S5 4G,7500
146,Sony,Xperia XA,7000
147,OnePlus,6,14000
148,Xiaomi,MI 5S Plus,12990
149,Huawei,Mate 20 Pro,19000
150,Samsung,Galaxy A3 2016 Duos,5390
151,Samsung,Galaxy Fold,45000
152,Realme Chongqing Mobile Telecommunications Corp Ltd,GT Master,17790
153,Blackview,BV9500,24990
154,Xiaomi,Mi Mix 3,13490
155,HTC,U Ultra,9800
156,Huawei Device Company Limited,Huawei Mate 40 Pro,34190
157,OnePlus,KB2003,30590
158,Sony,Xperia XA Dual,7000
159,Xiaomi,Redmi Note 10 Pro,13990
160,Samsung,Galaxy Note 9,21000
161,Xiaomi,Redmi 4X,11490
162,Samsung,Galaxy Tab A 8.0 2017,8990
163,Google Inc,Pixel 3,39990
164,Huawei,Honor V30 Pro,38590
165,Samsung,Galaxy Z Fold2 5G,50990
166,Xiaomi,Mi 8 Pro,14990
167,Huawei,P40 Lite,9000
168,Xiaomi,Redmi 8A,5000
169,Xiaomi,Redmi Note 4,4000
170,Meizu,Pro 7,7000
171,OnePlus,6T,16000
172,OnePlus,5T,12000
173,Huawei,Mate 9 Dual,8000
174,Oppo,Reno,16000
175,Xiaomi,Mi 10T Pro,25000
176,Xiaomi,Redmi Note 9 Pro,12000
177,OnePlus,8T,30000
178,Tecno,SPARK 6 Go,3500
179,Samsung,Galaxy M30S Dual,10290
180,Honor Device Company Limited,Honor 50,26000
181,Vingroup Joint Stock Company,V430,5000
182,Xiaomi,Mi 8 Lite,13990
183,Samsung,Galaxy M12,10900
184,Sony,Xperia XZ Premium,15000
185,Doke Communication (HK) Limited,BV9100,15000
186,Xiaomi,Mi 9,18000
187,Huawei Device Company Limited,P Smart 2021,10000
188,Xiaomi,MI A2,5000
189,Sony,Xperia XZ2,8000
190,Huawei,P10 Lite,4000
191,Huawei Device Company Limited,Nova 8,23000
192,Meizu,16th,22000
193,Xiaomi,11T,21000
194,Meizu,M6s,3500
195,Xiaomi,Poco F2 Pro,32000
196,Xiaomi,Mi 11 Global,45000
197,Samsung,Galaxy J7 Core Dual,5000
198,OnePlus,7 Pro,22000
199,Samsung,Galaxy Z Fold3 5G,78000
200,Doke Communication (HK) Limited,BV6100,9000
201,Meizu,16,20000
202,Xiaomi,MI A1,3500
203,OnePlus,7T,22000
204,Google Inc,Pixel 5,30000
205,Atlas LLC,G450,3000
206,Xiaomi,MEG7,5000
207,Xiaomi,Redmi Pro Exclusive Edition,19000
208,Oppo,A5s,7000
209,Xiaomi,Redmi Note 8 2021,13990
210,ZTE,Blade A610,5000
211,Huawei,MediaPad T3 10,7000
212,Apple,iPhone 6,9000
213,Oppo,A1k,4300
214,Samsung,Galaxy Note 10 Plus Dual,26000
215,Itel Technology Limited,A16 Plus,2500
216,Samsung,Galaxy A5 2017,8000
217,Xiaomi,POCO F3,21000
218,Doke Communication (HK) Limited,BV9600 Pro,18000
219,Blackview,BV6000,11000
220,Vivo,V20 SE,17000
221,ZTE,Blade A7s,7000
222,Huawei,Y3 2017 MT6580M Dual,2500
223,Xiaomi,Poco X3 Pro,23990
224,Sony Mobile Communications Inc.,Xperia 1,10800
225,Sony,Xperia XA2 Ultra,11395
226,LG,V30 Dual,10000
227,Xiaomi,Redmi Note 8T,13990
228,Huawei,Honor 4C Pro,9000
229,Highscreen Limited,Max 3,14000
230,Google Inc,Pixel 4a,18000
231,Umi Network Technology Co Limited,BISON,15000
232,Huawei,MediaPad T3 8.0,11000
233,Xiaomi,Mi 8 SE,9500
234,Google Inc,Pixel 4,19000
235,Meizu,M6T,4500
236,Samsung,Galaxy M20 Dual,17000
237,ZTE,Blade V9 Vita,8000
238,Samsung,Galaxy S21 Ultra 5G,70000
239,Xiaomi,Redmi 3S,5700
240,Samsung,Galaxy Tab A 10.1 2016,30107
241,Tecno,Spark 5 Air,4000
242,Realme Chongqing Mobile Telecommunications Corp Ltd,C21,9000
243,Tecno,SPARK 4,10000
244,Tecno,Camon 15 Air,5000
245,Oppo,F7,8500
246,Xiaomi,Redmi Note 5A Lite,7500
247,ZTE,Blade V10 Vita RU,4000
248,ZTE,Blade A3 2020RU,4500
249,Realme Chongqing Mobile Telecommunications Corp Ltd,C11,6000
250,Samsung,Galaxy S21+ 5G,49000
251,ZTE,Blade A6 Lite,3000
252,Realme Chongqing Mobile Telecommunications Corp Ltd,RMX2021,9000
253,Oppo,RX17 Neo,6700
254,Sony Mobile Communications Inc.,Xperia 1 II,40000
255,Samsung,Galaxy A5 2016 Duos,19000
256,LeEco,Le 2,5000
257,Xiaomi,Redmi Note 5A Prime,7700
258,Samsung,Galaxy S7,13000
259,Motorola,Moto G9 Plus,10000
260,Sony Mobile Communications Inc.,Xperia XA2 Plus,21000
261,Xiaomi,Redmi K20 Pro,16000
262,Xiaomi,Redmi Note 7 Pro,9500
263,Xiaomi,MI MIX2,15000
264,Realme Chongqing Mobile Telecommunications Corp Ltd,C3,9000
265,Meizu,M6,9300
266,Samsung,Galaxy A51,19000
267,Samsung,Galaxy S8 Dual,15000
268,Xiaomi,Redmi 6 Pro,9000
269,Xiaomi,Redmi Note 3 Pro,10000
270,Samsung,Galaxy S8 Plus,14900
271,Xiaomi,MI 5X,7000
272,Vivo,Y85,5500
273,Sony,Xperia Z5 Dual,7900
274,Samsung,Galaxy S7 EDGE,13900
275,Oppo,A92s,3300
276,Meizu,M5s 32Gb,6000
277,Samsung,Galaxy A01 Core Dual,7000
278,Meizu,X8,17000
279,Oppo,F11 Pro,10000
280,Realme Chongqing Mobile Telecommunications Corp Ltd,5 Pro,27000
281,OnePlus,8 PRO 5G,38000
282,Doke Communication (HK) Limited,BV5900,18000
283,Xiaomi,Mi Max,16000
284,Samsung,Galaxy Note 8,16500
285,ZTE,Blade L210RU,4500
286,Samsung,Galaxy Tab A 10.1 2019,18000
287,ZTE,Blade L8,3500
288,Samsung,Galaxy Tab A7 10.4 2020,20000
289,Apple,iPhone 4S,5000
290,Apple,iPad Air,60000
291,Realme Chongqing Mobile Telecommunications Corp Ltd,X50,15000
292,Xiaomi,MI A2 Lite,17500
293,Realme Chongqing Mobile Telecommunications Corp Ltd,7,22000
294,Tecno,LC7,23000
295,ZTE,Blade A5,6000
296,Xiaomi,Pocophone F1,13000
297,Xiaomi,Redmi Note 7,7400
298,ZTE,Blade 20 Smart,15000
299,Xiaomi,Poco X3 NFC,25000
300,Xiaomi,MI Mix 2,15000
301,Vivo,Y20,10000
302,Sony Mobile Communications Inc.,Xperia 10 II,11500
303,Xiaomi,Note7,7300
304,OnePlus,7T Pro,30000
305,Samsung,Galaxy M31s,15000
306,Samsung,Galaxy S20,28000
307,Samsung,Galaxy M11 Dual,15000
308,Xiaomi,Redmi 6A,6500
309,Xiaomi,Redmi 6,17000
310,Vivo,V20,21000
311,Samsung,Galaxy Note 20 Ultra,79000
312,Oppo,F11 PRO,10500
313,Samsung,Galaxy S10 Plus,20000
314,Huawei,MediaPad M5 Lite 8,48000
315,Oppo,A31,13200
316,Realme Chongqing Mobile Telecommunications Corp Ltd,XT,15000
317,Yandex LLC,YNDX-000SB,11000
318,Xiaomi,MI Max 2,12000
319,Xiaomi,Redmi 5 Plus,6000
320,Samsung,Galaxy S20 Ultra 5G,35000
321,Xiaomi,Redmi 5,7000
322,Xiaomi,Mi 10 Lite 5G,25000
323,Xiaomi,Mi Max 3,10000
324,Xiaomi,MI 8,15000
325,Samsung,Galaxy Note20 Ultra 5G Global,75000
326,Xiaomi,MI 6,4000
327,Xiaomi,MI MAX2,12000
328,ZTE,Blade V9,8000
329,Oppo,A91,13000
330,Huawei,Y9s 2019,10000
331,BQ Devices Limited,BQ S5,6500
332,Realme Chongqing Mobile Telecommunications Corp Ltd,6i,14200
333,Realme Chongqing Mobile Telecommunications Corp Ltd,K20 Pro,15000
334,Realme Chongqing Mobile Telecommunications Corp Ltd,Realme 7 Pro,27000
335,Vingroup Joint Stock Company,Joy 4,5500
336,Apple,iPhone 5,8000
337,Xiaomi,Redmi Note 6 Pro,6000
338,Meizu,M6 Note,9500
339,Xiaomi,Redmi Note 9S,16000
340,Sony,Xperia XA2,7200
341,Xiaomi,Redmi S2,5000
342,Samsung,Galaxy S8,14000
343,Samsung,Galaxy Tab A 8.0 2019 LTE,23000
344,Apple,iPhone 5S,8000
345,Xiaomi,Mi 9 SE,12000
346,Doke Communication (HK) Limited,BV6800 Pro,15286
347,Xiaomi,Redmi 9,10000
348,Xiaomi,Redmi 5A,4800
349,Xiaomi,Mi 5 Pro Ceramic Edition,50000
350,Xiaomi,MI 5S,14000
351,Xiaomi,Redmi 7,8500
352,Samsung,"Galaxy Note 10 Plus Brasil, China",23000
353,Samsung,Galaxy M51 Dual,21000
354,Xiaomi,Poco M3,13000
355,Xiaomi,Redmi Note 8,16000
356,BQ Devices Limited,Magic,6686
357,Xiaomi,Redmi Note 4X,8000
358,Xiaomi,Redmi 4 Prime,8000
359,Samsung,Galaxy M01 Dual Global,8000
360,ZTE,Blade A7,8999
361,OnePlus,8,34708
362,Xiaomi,Poco X3,23000
363,Samsung,Galaxy M21,14995
364,Xiaomi,Mi 9 Lite,14033
365,Samsung,Galaxy M31,14550
366,Realme Chongqing Mobile Telecommunications Corp Ltd,RMX2180,17673
367,Samsung,Galaxy S10,21990
368,Motorola,Moto G9 Play,10100
369,Huawei,P Smart Plus,16490
